id,name,slug,type,category,area,description,detailedDescription,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,amenities,featured,googleMapsUrl
1,Rapunzel’s Coffee & Books,rapunzels-coffee-books,Coffee Shops,,Lovingston,"Eclectic arts venue, used bookstore, and coffee shop that hosts live music three nights a week and pours Nelson County beer, wine, and cider in a living-room-style space with free Wi-Fi.","Rapunzel's Coffee and Books is an eclectic arts venue, community space, coffee shop, and used bookstore located in The Packing Shed in historic Lovingston, Virginia. 

Rapunzel's Further Ado Foundation hosts live music every Wednesday, Friday, and Saturday evenings starting at 8pm. Rapunzel's is a listening-room, living-room-style environment. 

Come get comfortable with a good book and a cup of coffee or tea, and settle in for an evening of music on the couch of your choice. We have free wi-fi and serve only Nelson County local brews (wine, beer, and, cider).",https://ik.imagekit.io/OE/nelson-county/listings/fall_tAZzrexkk.jpg,Exterior of Rapunzel’s Coffee & Books restaurant,,https://ik.imagekit.io/OE/nelson-county/listings/rapunzel-s-coffee-books-image1_xkLb0D2M8,Dining area at Rapunzel’s Coffee & Books,,,,,https://www.rapunzelscoffeeandbooks.org/,(434) 263-6660,"956 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=956%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,Live Music; Retail; Wi-Fi; Beer; Cider; Wine; Local Ingredients; Coffee; Tea,true,https://www.google.com/maps/dir/?api=1&destination=956%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
2,Sweet Bliss Bakery,sweet-bliss-bakery,Coffee Shops,,Nellysford,"Handcrafts cheesecakes, cakes, and pastries with local seasonal ingredients, plus Virginia’s Finest soups and a specialty quiche made fresh daily.","Our desserts are lovingly handcrafted from the finest ingredients. We love supporting our local farmers, and offer seasonal desserts so they are at their peak of freshness. We are passionate about creating fresh, decadent desserts, and seeing our clients smile. Our specialty are cheesecakes and cakes. We have over 50 flavors, and are always creating new flavors. We take our time to bake the highest quality desserts and hand- decorate each creation, so no two are alike. Many of our cakes are infused with liqueurs to enhance their natural flavors, decorated with nuts, candies, fresh fruits and a variety of chocolates. In addition to cheesecakes and cakes, we offer a full-line menu of pastry items such as pies, scones, muffins, cookies, brownies, blondies, cream puffs, eclairs and other scrumptious desserts. Our desserts carry the Virginia's Finest label to ensure the finest quality possible. They are never frozen, and contain no preservatives, additives or fillers. Offering a homemade soup of the day and a specialty quiche of the day.",https://ik.imagekit.io/OE/nelson-county/listings/sweet-bliss-bakery-image1_FHF7TQVl9,Exterior view of Sweet Bliss Bakery,,,,,,,,https://www.facebook.com/thecheesecakelady123/,(434) 465-6776,"2789 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2789%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Local Ingredients; Seasonal Menu; Coffee; Tea; Cafe,false,https://www.google.com/maps/dir/?api=1&destination=2789%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
3,Terrace Café,terrace-cafe-at-wintergreen-resort,Coffee Shops,,Wintergreen Resort,"Wintergreen Resort café pouring Starbucks beverages with breakfast sandwiches, sweet treats, and warm specialty drinks for skiers and resort guests.","Wintergreen Resort café pouring Starbucks beverages with breakfast sandwiches, sweet treats, and warm specialty drinks for skiers and resort guests.",https://ik.imagekit.io/OE/nelson-county/listings/terrace-caf--image1_rtR-GB-_3,Exterior view of Terrace Café,,,,,,,,https://www.wintergreenresort.com/terrace-cafe/,(434) 325-8080,"39 Mountain Inn Loop, Wintergreen, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,Breakfast; Desserts; Seasonal Menu; Coffee; Tea; Cafe,false,https://www.google.com/maps/dir/?api=1&destination=39%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958
4,Trager Brothers Coffee 1.0,trager-brothers-coffee-1-0,Coffee Shops,,Lovingston,Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships.,Small-batch organic roastery and café in downtown Lovingston roasting to order and serving certified organic coffee sourced through long-term sustainable partnerships.,https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-1-0-image1_CD5zSPxJ7,Exterior of Trager Brothers Coffee 1.0 restaurant,,,,,,,,https://www.tbcroasters.com/,(434) 996-3138,"486 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,Coffee; Organic; Order Pickup; Tea; Cafe,true,https://www.google.com/maps/dir/?api=1&destination=486%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
5,Trager Brothers Coffee 2.0,trager-brothers-coffee-2-0,Coffee Shops,,Afton,"Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee.","Organic coffeehouse at the Rockfish Valley School campus with freshly roasted beans, espresso drinks, and grab-and-go service from Trager Brothers Coffee.",https://ik.imagekit.io/OE/nelson-county/listings/trager-brothers-coffee-2-0-image1_onAYYsQs0L,Exterior of Trager Brothers Coffee 2.0 restaurant,,,,,,,,https://www.tbcroasters.com/,(434) 263-8916,"190 Rockfish Valley School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920,Coffee; Organic; Bar; Tea; Cafe,false,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20Valley%20School%20Lane%2C%20Afton%2C%20VA%2022920
6,Afton Market,afton-market,Markets & Delis,,Afton,"Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.","Locally owned convenience store and gas station with a breakfast-and-lunch deli known for fried chicken, fresh coffee, and fountain drinks.",https://ik.imagekit.io/OE/nelson-county/listings/afton-market-image1_TRZCedQPe,Exterior of Afton Market restaurant,,,,,,,,,(540) 456-6111,"10185 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Retail; Fuel; Breakfast; Deli; Coffee; Tea; Lunch; Market,false,https://www.google.com/maps/dir/?api=1&destination=10185%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
7,Ashley’s Market,ashleys-market,Markets & Delis,,Afton,"Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads.","Family-run convenience and gas stop with a deli serving breakfast biscuits, lunch sandwiches, fried chicken, and deli salads.",https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image1_-O8C_lefS,Storefront of Ashley’s Market,,https://ik.imagekit.io/OE/nelson-county/listings/ashley-s-market-image2_BHBW3b0b2,Interior of Ashley’s Market,,,,,https://www.facebook.com/ashleysmaket151/,(434) 361-2087,"6445 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Fuel; Breakfast; Deli; Lunch; Market,false,https://www.google.com/maps/dir/?api=1&destination=6445%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
8,Chicken Coop,chicken-coop,Markets & Delis,,Lovingston,"Counter-service kitchen inside Nelson Food Mart offering fried chicken, barbecue, burgers, and sandwiches made to order.","Counter-service kitchen inside Nelson Food Mart offering fried chicken, barbecue, burgers, and sandwiches made to order.",https://ik.imagekit.io/OE/nelson-county/listings/chicken-coop-image1_PIMkxTnKd,Exterior view of Chicken Coop,,,,,,,,,(434) 263-7818,"40 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,BBQ; Retail; Full Kitchen; Market; Deli,false,https://www.google.com/maps/dir/?api=1&destination=40%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
9,Colleen Deli,colleen-deli,Markets & Delis,,Arrington,"Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.","Exxon deli serving all-day breakfast, daily lunch specials, sandwiches, wraps, and homemade baked goods with a summertime salad bar.",https://ik.imagekit.io/OE/nelson-county/listings/colleen-deli-image1_Qm3EZKyhY,Storefront of Colleen Deli,,,,,,,,,(434) 263-8300,"4071 Thomas Nelson Hwy, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922,Breakfast; Lunch; Bar; Seasonal Menu; Bakery; Baked Goods; Deli; Market,false,https://www.google.com/maps/dir/?api=1&destination=4071%20Thomas%20Nelson%20Hwy%2C%20Arrington%2C%20VA%2022922
10,Corner Market,corner-market,Markets & Delis,,Schuyler,Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.,Neighborhood convenience store and gas station with a short-order deli serving breakfast biscuits and hot lunch items.,https://ik.imagekit.io/OE/nelson-county/listings/corner-market-image1_wiPXqe1ES,Storefront of Corner Market,,,,,,,,,(434) 263-5500,"11309 James River Road, Shipman, VA 22971",josh,,,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971,Retail; Fuel; Breakfast; Deli; Lunch; Market,false,https://www.google.com/maps/dir/?api=1&destination=11309%20James%20River%20Road%2C%20Shipman%2C%20VA%2022971
11,Graves Grocery & Deli,graves-grocery-deli,Markets & Delis,,Nellysford,"Local grocery, gas, and deli stop with breakfast and lunch service for travelers along Route 151.","Local grocery, gas, and deli stop with breakfast and lunch service for travelers along Route 151.",https://ik.imagekit.io/OE/nelson-county/listings/graves-grocery-deli-image1_DBJko9s0a,Storefront of Graves Grocery & Deli,,,,,,,,,(434) 361-2504,"1779 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Retail; Fuel; Breakfast; Lunch; Deli; Market,false,https://www.google.com/maps/dir/?api=1&destination=1779%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
12,Hickman’s Exxon Grocery,hickmans-exxon-grocery,Markets & Delis,,Roseland,"Exxon convenience store with breakfast and lunch deli, full game checking station, and hunting supplies.","Exxon convenience store with breakfast and lunch deli, full game checking station, and hunting supplies.",https://ik.imagekit.io/OE/nelson-county/listings/hickman-s-exxon-grocery-image1_s5gtjxUQJ,Storefront of Hickman’s Exxon Grocery,,,,,,,,,(434) 361-1205,"1311 Beech Grove Road, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967,Fuel; Breakfast; Lunch; Deli; Hunting; Market,false,https://www.google.com/maps/dir/?api=1&destination=1311%20Beech%20Grove%20Road%2C%20Roseland%2C%20VA%2022967
13,IGA Blue Ridge Grocery,iga-blue-ridge-grocery,Markets & Delis,,Nellysford,"Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley.","Community supermarket providing full groceries, everyday essentials, and friendly service in the Rockfish Valley.",https://ik.imagekit.io/OE/nelson-county/listings/iga-blue-ridge-grocery-image1_9UYmGsIn7,Storefront of IGA Blue Ridge Grocery,,,,,,,,,(434) 361-1105,"2797 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Market; Local Ingredients; Order Pickup; Parking; Deli,false,https://www.google.com/maps/dir/?api=1&destination=2797%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
14,Ike’s Market & Deli,ikes-market-deli,Markets & Delis,,Schuyler,"Riverside convenience store and deli featuring hot menu specials, grab-and-go items, and a game checking station.","Riverside convenience store and deli featuring hot menu specials, grab-and-go items, and a game checking station.",https://ik.imagekit.io/OE/nelson-county/listings/ike-s-market-deli-image1_7BFICV0DZ,Storefront of Ike’s Market & Deli,,,,,,,,,(434) 831-1185,"6597 Rockfish River Road, Schuyler, VA 22969",josh,,,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969,Retail; Deli; Hunting; Market,true,https://www.google.com/maps/dir/?api=1&destination=6597%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969
15,Indian Oven,indian-oven,Markets & Delis,,Lovingston,"Family-run Indian restaurant serving curries, tandoori favorites, and coconut-forward dishes crafted with fresh ingredients in a welcoming setting.","Family-run Indian restaurant serving curries, tandoori favorites, and coconut-forward dishes crafted with fresh ingredients in a welcoming setting.",https://ik.imagekit.io/OE/nelson-county/listings/indian-oven-image1_0QlheMSPI,Exterior of Indian Oven restaurant,,,,,,,,,(434) 263-4080,"10749 Thomas Nelson Hwy, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,Takeout; Family Friendly; Market; Deli,false,https://www.google.com/maps/dir/?api=1&destination=10749%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949
